t[s],Q[l/s],H_US_1[m],H_US_2[m],H_US_3[m],H_US_4[m],H_US_5[m],Sed_In[kg/s],Sed_Out[kg/s],v[m/s]
21971.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,266.6856813333334,0.0
21972.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,263.92514701025647,0.0
21973.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,267.37238760769236,0.0
21974.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,263.40431091794875,0.0
21975.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,265.0680499487179,0.0
21976.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,261.85121878974354,0.0
21977.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,263.94355,0.0
21978.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,265.16480159230775,0.0
21979.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,265.091075151282,0.0
21980.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,263.64855837435897,0.0
21981.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,261.29817031025635,0.0
21982.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,264.40901971025636,0.0
21983.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,264.6901733179487,0.0
21984.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,267.76875308974365,0.0
21985.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,268.35399964615385,0.0
21986.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,257.2425864025641,0.0
21987.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,265.71321354871793,0.0
21988.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,259.7773191897436,0.0
21989.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,268.58907422820516,0.0
21990.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,269.13289259230766,0.0
21991.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,271.5154930435898,0.0
21992.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,267.7641022564102,0.0
21993.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,271.47406485128204,0.0
21994.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,265.1049274794872,0.0
21995.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,265.36301295384624,0.0
21996.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,262.02631908717944,0.0
21997.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,265.90218048461537,0.0
21998.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,267.3954414307692,0.0
21999.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,262.8558846512821,0.0
22000.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,269.5937257794872,0.0
22001.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,265.60723178974365,0.0
22002.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,266.8562023487179,0.0
22003.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,262.94344911025644,0.0
22004.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,257.29330195128205,0.0
22005.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,265.4874120128205,0.0
22006.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,266.0819316153846,0.0
22007.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,266.83317714615384,0.0
22008.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,259.73591961794864,0.0
22009.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,262.9987582512821,0.0
22010.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,258.55150262564104,0.0
22011.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,265.312254474359,0.0
22012.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,263.1923760205129,0.0
22013.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,268.3447838410256,0.0
22014.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,267.2295140076923,0.0
22015.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,261.178407774359,0.0
22016.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,261.04472135897436,0.0
22017.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,263.8145001076923,0.0
22018.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,269.8656206512821,0.0
22019.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,266.98064433846156,0.0
22020.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,263.38590792820514,0.0
22021.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,265.1878554153846,0.0
22022.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,263.6900867384616,0.0
22023.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,267.6719442051282,0.0
22024.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,265.58423520769225,0.0
22025.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,264.88370522564105,0.0
